time_s,input_rad,output_rad,ring_contacts,cam_contacts,max_penetration_mm,min_volume_ratio,max_volume_ratio,max_contact_penalty_N,center_drift_mm
0.0,0.0,0.0,24,252,0.06649699807167053,0.9989081025123596,0.9989140033721924,6.649700164794922,2.6171883860115486e-07
0.03333333333333333,0.0,4.2402484723425005e-06,20,147,0.0004031317075714469,0.9850546717643738,1.0185717344284058,0.04031316936016083,3.81915015168488e-06
0.06666666666666667,0.0,-0.0006267170538194478,6,78,0.0002577780978754163,0.9857655167579651,1.0171642303466797,0.02577780745923519,5.210926701693097e-06
0.09999999999999999,0.0,-0.0007535937475040555,0,130,9.865289030130953e-05,0.9898375868797302,1.0137884616851807,0.009865288622677326,9.502935427008197e-06
0.13333333333333333,0.0,-0.0008403754327446222,4,99,0.00026278028963133693,0.99397212266922,1.0143353939056396,0.02627803012728691,1.0566793207544833e-05
0.16666666666666677,0.0,-0.0010193135822191834,6,170,0.00015956720744725317,0.988784909248352,1.020540475845337,0.01595672033727169,1.0125920198333915e-05
0.2000000000000002,0.0,-0.0011214776895940304,0,150,4.463618097361177e-05,0.9904768466949463,1.010424017906189,0.004463618155568838,8.114450793073047e-06
0.23333333333333364,0.0,-0.0012536050053313375,0,124,3.0164301279000938e-05,0.9930064678192139,1.0109158754348755,0.0030164301861077547,1.0029044688053546e-06
0.26666666666666694,0.0,-0.0014097688253968954,0,155,3.375862434040755e-05,0.9919714331626892,1.011267066001892,0.003375862492248416,5.277907803247217e-06
0.30000000000000016,0.0,-0.001655468950048089,0,146,5.0917151384055614e-05,0.9923566579818726,1.0102100372314453,0.0050917151384055614,5.361792773328489e-06
0.33333333333333337,0.0,-0.0020389563869684935,2,86,6.503978511318564e-05,0.9894707202911377,1.0111109018325806,0.006503978744149208,7.755068509140983e-06
0.3666666666666666,0.0,-0.002473877277225256,6,95,0.00014050783647689968,0.9896888732910156,1.007981538772583,0.014050783589482307,7.812340300006326e-06
0.3999999999999998,0.0,-0.0024517823476344347,4,76,0.0003846544132102281,0.99362713098526,1.0072414875030518,0.03846544027328491,8.795902431302238e-06
0.433333333333333,0.0,-0.00198802980594337,4,94,0.00012947384675499052,0.9944736361503601,1.0059884786605835,0.012947384268045425,8.492524102621246e-06
0.46666666666666623,0.0,-0.0014738256577402353,0,116,2.0319930627010763e-05,0.9946039915084839,1.0058104991912842,0.002031993120908737,5.557370059250388e-06
0.49999999999999944,0.0,-0.0009784841677173972,0,116,1.5168552636168897e-05,0.9943130016326904,1.0056326389312744,0.0015168553218245506,3.5368739190744236e-06
0.5333333333333327,0.0021266630940701137,-0.0004975225310772657,0,67,1.4237230061553419e-05,0.9939188957214355,1.0056935548782349,0.0014237230643630028,6.2189278651203495e-06
0.5666666666666659,0.008148751257828657,4.589326272252947e-05,0,86,2.079468686133623e-05,0.9938496947288513,1.005805253982544,0.002079468686133623,6.2699236877961084e-06
0.5999999999999991,0.017580011508909532,0.0006452773814089596,0,109,2.4168912204913795e-05,0.9943707585334778,1.005741834640503,0.0024168912786990404,4.350364633864956e-06
0.6333333333333323,0.029994888210840842,0.0012368913739919662,8,94,0.00019323124433867633,0.9944167137145996,1.0061179399490356,0.01932312361896038,3.4794604744092794e-06
0.6666666666666655,0.04502094642481411,0.0014834123430773616,8,114,0.0002271608536830172,0.9941245317459106,1.0062843561172485,0.022716084495186806,4.8008846533775795e-06
0.6999999999999987,0.06233224102930468,0.001280811382457614,8,121,0.0002895958605222404,0.9943896532058716,1.0064531564712524,0.02895958535373211,9.96002654574113e-06
0.733333333333332,0.08164351355048205,0.0006418191478587687,6,132,0.00038428150583058596,0.9948950409889221,1.0066332817077637,0.03842815384268761,1.1790977623604704e-05
0.7666666666666652,0.1027051133830188,-0.0004070945142302662,4,132,0.00031381205189973116,0.9951030015945435,1.0063848495483398,0.03138120472431183,1.3052568647253793e-05
0.7999999999999984,0.12529855297804937,-0.001686442643404007,2,118,0.0001347289071418345,0.9947690963745117,1.006332516670227,0.013472890481352806,9.913290341501124e-06
0.8333333333333316,0.14923261786226374,-0.0029938500374555588,4,92,3.688001015689224e-05,0.9944453835487366,1.0060142278671265,0.003688001073896885,6.657747690042015e-06
0.8666666666666648,0.17433996223040593,-0.004257600288838148,4,79,7.650851330254227e-05,0.9941605925559998,1.0054136514663696,0.007650851272046566,1.4543733186656027e-06
0.899999999999998,0.20047412949866228,-0.005451482720673084,0,80,2.082197170238942e-05,0.9942207336425781,1.006308674812317,0.002082197228446603,2.0974723611288937e-06
